old_my_translation,new_deepseek
"不直接覆盖。交易保障仅覆盖货值（FOB 或 CIF 价值）。运费、关税及越南港口费用不在托管账户内。但若订单经裁定因供应商全责而退款，供应商须按条款额外赔偿运费损失——此部分逐案协商。","不直接覆盖。交易保障仅覆盖货值（FOB或CIF价值）。运费、关税及越南港口费用不在托管账户内。但若订单经裁定因供应商全责而退款，供应商须按条款额外赔偿运费损失——此部分逐案协商。"
"资金仍在托管账户而非供应商处。CSR 将在 7 个工作日内向采购商 100% 退款（只需通过天眼查或官方公告法律确认供应商已停业）。这是托管账户相比直接电汇的最大优势之一——资金从不属于供应商的可被查封财产。","资金仍在托管账户而非供应商处。平台将在7个工作日内向采购商100%退款（只需通过天眼查或官方公告法律确认供应商已停业）。这是托管账户相比直接电汇的最大优势之一——资金从不属于供应商的可被查封财产。"
"每年针对华越聚焦的三大行业（建材 · 装饰材料 · 厨卫家电）发布 12-18 份报告——涵盖广东工厂价格、CNY/VND 汇率波动、上海期货原料指数，直至越南海关总局和 GACC 的新税收政策。越南采购商手握数据，得以与中国工厂平等谈判。","每年针对华越聚焦的三大行业（建材·装饰材料·厨卫家电）发布12-18份报告——涵盖广东工厂价格、CNY/VND汇率波动、上海期货原料指数，直至越南海关总局和GACC的新税收政策。越南采购商手握数据，得以与中国工厂平等谈判。"
"报告 / 年","报告/年"
"3（建材 · 装饰 · 厨卫家电）","3（建材·装饰·厨卫家电）"
"对应华越三大行业的 3 类报告","对应华越三大行业的3类报告"
"长期以来，从中国进行 B2B 采购是一场工厂掌握全部信息、越南采购商被动跟随的博弈。佛山工厂精确知道今天的黏土价格、本周的 CNY/VND 汇率、即将变更的增值税退税政策——而所有这些信息都被用来对越南采购商定价。与此同时，采购商只看到工厂报出的最终数字，无从核实。华越发布市场情报报告以拉平赛场：汇总来自华越合作工厂、上海期货交易所（SHFE）、越南海关总局、中国商务部（MOFCOM）的数据——编辑成通俗易懂的越南语报告，配有图表和供采购商落地执行的洞见。","长期以来，从中国进行B2B采购是一场工厂掌握全部信息、越南采购商被动跟随的博弈。佛山工厂精确知道今天的黏土价格、本周的CNY/VND汇率、即将变更的增值税退税政策——而所有这些信息都被用来对越南采购商定价。与此同时，采购商只看到工厂报出的最终数字，无从核实。华越发布市场情报报告以拉平赛场：汇总来自华越合作工厂、上海期货交易所（SHFE）、越南海关总局、中国商务部（MOFCOM）的数据——编辑成通俗易懂的越南语报告，配有图表和供采购商落地执行的洞见。"
"每月报告内容包括：（a）三大行业工厂价格波动——与上月及去年同期对比，数据取自华越合作工厂（匿名聚合）。（b）CNY/VND/USD 汇率——周走势、1-2 个月短期预测。（c）主要原料价格——陶瓷黏土、MDF/HDF 木材、钢卷、铜、铝——取自 SHFE 及相关交易所。（d）进出口税收政策——更新三大行业 HS 编码的 ACFTA/RCEP 优惠，越南海关总局或 GACC 有变动时发出预警。（e）行业资讯——新开工厂、新技术（纳米镀层、600×1200 陶瓷、COB LED 灯）、即将到来的展会。（f）给采购商的建议——下单良机（原料下行）、酝酿涨价的时点（新税收政策）。","每月报告内容包括：（a）三大行业工厂价格波动——与上月及去年同期对比，数据取自华越合作工厂（匿名聚合）。（b）CNY/VND/USD汇率——周走势、1-2个月短期预测。（c）主要原料价格——陶瓷黏土、MDF/HDF木材、钢卷、铜、铝——取自SHFE及相关交易所。（d）进出口税收政策——更新三大行业HS编码的ACFTA/RCEP优惠，越南海关总局或GACC有变动时发出预警。（e）行业资讯——新开工厂、新技术（纳米镀层、600×1200陶瓷、COB LED灯）、即将到来的展会。（f）给采购商的建议——下单良机（原料下行）、酝酿涨价的时点（新税收政策）。"
"方法论：三源校验——所有关键数据均有至少 3 个独立来源一致印证。工厂价格数据：汇总自 20+ 家华越合作供应商（匿名，仅聚合）+ 抓取 1688.com 和 Made-in-China.com 的公开报价 + 广东行业协会（佛山商会、广东省工商联）报告。汇率：银行间参考汇率、PBOC 中间价、Reuters 即期。原料：SHFE 上海期货（钢、铜、铝）、Bloomberg 原油。政策：越南海关总局、GACC、MOFCOM、越南财政部。编辑团队：广州采购团队（熟悉工厂）+ 河内团队（熟悉越南市场）+ 1 名常驻外经济顾问。","方法论：三源校验——所有关键数据均有至少3个独立来源一致印证。工厂价格数据：汇总自20+家华越合作供应商（匿名，仅聚合）+ 抓取1688.com和Made-in-China.com的公开报价 + 广东行业协会（佛山商会、广东省工商联）报告。汇率：银行间参考汇率、PBOC中间价、Reuters即期。原料：SHFE上海期货（钢、铜、铝）、Bloomberg原油。政策：越南海关总局、GACC、MOFCOM、越南财政部。编辑团队：广州采购团队（熟悉工厂）+ 河内团队（熟悉越南市场）+ 1名常驻外经济顾问。"
"（广州，4 月 + 10 月）——中国最大 B2B 展会，华越设代表展位并组织越南采购团。","（广州，4月+10月）——中国最大B2B展会，华越设代表展位并组织越南采购团。"
"（广州 3 月，上海 9 月）——家具专业展，家具品类的主要合作展会。","（广州3月，上海9月）——家具专业展，家具品类的主要合作展会。"
"（佛山，4 月和 10 月）——瓷砖与卫浴专业展。","（佛山，4月和10月）——瓷砖与卫浴专业展。"
"（胡志明市 6 月，河内 11 月）——越南建材展，华越邀请中国工厂与海防团队一同参展。","（胡志明市6月，河内11月）——越南建材展，华越邀请中国工厂与海防团队一同参展。"
"（中国海关，中国海关）——核查实际出口资质及曾申报的 HS 编码。（c）","（中国海关，中国海关）——核查实际出口资质及曾申报的HS编码。（c）"
"每 12 个月定期复审一次","每12个月定期复审一次"
"——来自乐从、东莞、中山的沙发、橱柜、地板、铺贴石材、MDF/HDF 价格。","——来自乐从、东莞、中山的沙发、橱柜、地板、铺贴石材、MDF/HDF价格。"
"✨ Huayuesc 的承诺","✨ Huayuesc的承诺"
"免费发送询价，24 小时内获得 5-10 家供应商报价。不经中间商，无隐藏费用。","免费发送询价，24小时内获得5-10家供应商报价。不经中间商，无隐藏费用。"
"40+ 家已验厂工厂","40+家已验厂工厂"
"24 小时内报价","24小时内报价"
"发送 1 份询价，1 个工作日内收到 5–10 家合适工厂的报价。","发送1份询价，1个工作日内收到5–10家合适工厂的报价。"
"若货物与描述不符、数量有误或逾期交货，100% 退款。","若货物与描述不符、数量有误或逾期交货，100%退款。"
"DDP 送货到仓 18 天","DDP送货到仓18天"
"一站式运输 + 关税 + 清关，从广州/宁波到河内/胡志明市。","一站式运输+关税+清关，从广州/宁波到河内/胡志明市。"
"40+ 家工厂","40+家工厂"
"2025 年交易额","2025年交易额"
"✓ SSL 加密","✓ SSL加密"
"✓ TÜV 审核","✓ TÜV审核"
"收到的货与样品一致，交货速度快。第二批将再订 2 个集装箱。","收到的货与样品一致，交货速度快。第二批将再订2个集装箱。"
"6 小时内快速报价。供应商支持出货前视频验货。","6小时内快速报价。供应商支持出货前视频验货。"
"品质好，出口级包装。价格比国内低 30%，很有竞争力。","品质好，出口级包装。价格比国内低30%，很有竞争力。"
"DDP 送货到仓，不产生额外税费。比自己安排物流节省 4 天。","DDP送货到仓，不产生额外税费。比自己安排物流节省4天。"
"1 箱受损时交易保障全额退款，值得信赖。","1箱受损时交易保障全额退款，值得信赖。"
"已收 3 个集装箱，无任何投诉。将继续合作。","已收3个集装箱，无任何投诉。将继续合作。"
"支持 OEM/ODM","支持OEM/ODM"
"20 – 30 天","20 – 30天"
"T/T 30% 预付，70% 出货前付清","T/T 30%预付，70%出货前付清"
"FOB / CIF / DDP 至越南","FOB / CIF / DDP至越南"
"越南本地 12 个月","越南本地12个月"
"&ldquo;免费验厂帮我避开了 1 家假冒供应商——实际价值远超 $400。&rdquo;","“免费验厂帮我避开了 1 家假冒供应商——实际价值远超 $400。”"
"&ldquo;DDP 免费加首单 9 折，首批货为我省下了 2,200 万越南盾。&rdquo;","“DDP 免费加首单 9 折，首批货为我省下了 2,200 万越南盾。”"
"例：200,000 pcs / month","例：200,000 件/月"
"例：500 pcs / 50 kg / 1×20 集装箱","例：500 件 / 50 千克 / 1×20 集装箱"
"工厂注册 — Huayuesc","工厂注册 — 华越供应链"
"~30 天","约 30 天"
"制造商（Manufacturer）","制造商"
"制造商 + 贸易（Manufacturer + Trading）","制造商 + 贸易"
"贸易公司（Trading Company）","贸易公司"
"分销商 / 代理（Distributor / Agent）","分销商/代理"
"7 – 15 天","7–15 天"
"15 – 30 天","15–30 天"
"30 – 45 天","30–45 天"
"45 – 60 天","45–60 天"
"年出口额（USD）","年出口额（美元）"
"微信 / WhatsApp","微信/WhatsApp"
"以图搜索 — Huayuesc","以图搜索 — 华越供应链"
"有“CSR Fulfilled”模式，自 2026 年第 3 季度起推行：供应商以 FOB 将货物交给位于香港或广州的华越物流，华越负责全部运输 + 清关 + 配送至越南经销商。供应商只需运至口岸。物流费 8–15%（视行业而定），无设置费。目前正与 8 家高级套餐供应商试运行。","有“CSR Fulfilled”模式，自2026年第3季度起推行：供应商以FOB将货物交给位于香港或广州的华越物流，华越负责全部运输+清关+配送至越南经销商。供应商只需运至口岸。物流费8–15%（视行业而定），无设置费。目前正与8家高级套餐供应商试运行。"
"强烈建议但非强制。华越约 78% 的订单正在使用交易保障。供应商采用可提高成交率（据内部数据，经销商信任度高出 3.4 倍），尤其在与新经销商的首单中。每单 1.5% 费用已含在挂牌价中，无隐藏费用。","强烈建议但非强制。华越约78%的订单正在使用交易保障。供应商采用可提高成交率（据内部数据，经销商信任度高出3.4倍），尤其在与新经销商的首单中。每单1.5%费用已含在挂牌价中，无隐藏费用。"
"入驻 CSR — 通过华越向越南做 B2B 出口","入驻CSR — 通过华越向越南做B2B出口"
"专注越南 – 中国市场的 B2B 平台。已认证的越南分销伙伴与经销商、通过越南和中国合作银行的交易保障、中越双语客户经理。20+ 供应商已注册，验厂免费，从注册到首单 30 天。","专注越南–中国市场的B2B平台。已认证的越南分销伙伴与经销商、通过越南和中国合作银行的交易保障、中越双语客户经理。20+供应商已注册，验厂免费，从注册到首单30天。"
"🏭 入驻 CSR · 供应商专属","🏭 入驻CSR · 供应商专属"
"B2B 出口越南","B2B出口越南"
"专注越南 – 中国市场的 B2B 平台，覆盖家具、材料、卫浴洁具、家用电器行业。","专注越南–中国市场的B2B平台，覆盖家具、材料、卫浴洁具、家用电器行业。"
"挂牌 100% 免费","挂牌100%免费"
"——只有供应商成交订单后我们才收费。“不盈利不收费”承诺：若尚未盈利，华越全额免费。40+ 合作工厂在采用多方共赢模式 24 个月后实现 300%+ 增长。","——只有供应商成交订单后我们才收费。“不盈利不收费”承诺：若尚未盈利，华越全额免费。40+合作工厂在采用多方共赢模式24个月后实现300%+增长。"
"💬 预约 30 分钟咨询","💬 预约30分钟咨询"
"20+ 工厂选择我们平台的 6 大理由","20+工厂选择我们平台的6大理由"
"挂牌 100% 免费——只在交易成交时收费","挂牌100%免费——只在交易成交时收费"
"的原则，助力各方互通商贸。我们不收注册费、不收验厂费、不收年度会员费。唯一的费用是 1.5% 交易保障——仅在供应商成交订单且经销商确认收货后才产生。","的原则，助力各方互通商贸。我们不收注册费、不收验厂费、不收年度会员费。唯一的费用是1.5%交易保障——仅在供应商成交订单且经销商确认收货后才产生。"
"注册、验厂、挂牌全流程——100% 免费","注册、验厂、挂牌全流程——100%免费"
"若头 12 个月内供应商未能从华越获得实际利润，我们将","若头12个月内供应商未能从华越获得实际利润，我们将"
"——或继续免费延长 6 个月，共同寻找优化方向。我们坚信，只有各方共赢，B2B 平台才有价值。","——或继续免费延长6个月，共同寻找优化方向。我们坚信，只有各方共赢，B2B平台才有价值。"
"与 BD 团队沟通 →","与BD团队沟通 →"
"4 步流程","4步流程"
"从注册到首单平均 30 天","从注册到首单平均30天"
"10 项标准体系——必备 + 加分","10项标准体系——必备+加分"
"平均通过率 32%——以严格标准保护越南经销商","平均通过率32%——以严格标准保护越南经销商"
"不只是被动的店铺——我们运营 6 个主动营销渠道，让供应商精准触达有需求的经销商。","不只是被动的店铺——我们运营6个主动营销渠道，让供应商精准触达有需求的经销商。"
"6 家多年合作工厂——真实数据","6家多年合作工厂——真实数据"
"来自与华越同行 3 至 8 年的工厂负责人的直接分享。","来自与华越同行3至8年的工厂负责人的直接分享。"
"入驻 CSR 前","入驻CSR前"
"入驻 CSR 后","入驻CSR后"
"供应商最关心的 8 个问题","供应商最关心的8个问题"
"汇总自过去 12 个月对越南分销伙伴、已注册供应商及 20+ 现有合作伙伴的访谈。","汇总自过去12个月对越南分销伙伴、已注册供应商及20+现有合作伙伴的访谈。"
"注册免费，验厂免费。平均 30 天即可上架并接到首单。20+ 供应商已选择华越——无隐藏交易费，中越双语客户经理一对一服务。","注册免费，验厂免费。平均30天即可上架并接到首单。20+供应商已选择华越——无隐藏交易费，中越双语客户经理一对一服务。"
"42 家越南 · 中国 · 东盟协会，28+ 份 MOU","42 家越南·中国·东盟协会，28+ 份 MOU"
"VCB · BIDV · 中国银行担保——支付保障","VCB·BIDV·中国银行担保——支付保障"
"3 级升级——直接协商 · 调解 · VIAC 仲裁","3 级升级——直接协商·调解·VIAC 仲裁"
"电话 / 微信","电话/微信"
"$120M / 年","$120M/年"
"$80M / 年（66%）","$80M/年（66%）"
"研发 / 新样生产线","研发/新样生产线"
"焊接 / 激光切割机器人","焊接/激光切割机器人"
"🏅 欧盟 / 美国认证","🏅 欧盟/美国认证"
"🔧 OEM / ODM 定制","🔧 OEM/ODM 定制"
"• 木材 FSC 产销监管链认证","• 木材FSC产销监管链认证"
"所有沟通均通过华越进行，享受交易保障 + 中越自动翻译。专属客户经理在工作时间内","所有沟通均通过华越进行，享受交易保障+中越自动翻译。专属客户经理在工作时间内"
"30 分钟内","30分钟内"
"💬 微信 / WhatsApp：","💬 微信/WhatsApp："
"中文、英文，经 CSR 翻译可提供越南语","中文、英文，经CSR翻译可提供越南语"
"河内市纸桥郡黎文良街 48 号 Diamond Flower 大厦 21 层","河内市纸桥郡黎文良街48号Diamond Flower大厦21层"
"💬 Zalo 聊天","💬 Zalo聊天"
"60 秒表单——24 小时内回复。附规格、数量、交期。","60秒表单——24小时内回复。附规格、数量、交期。"
"打开询价表单 →","打开询价表单→"
"与销售部 + 车间实时视频通话（提供中越同声传译）。","与销售部+车间实时视频通话（提供中越同声传译）。"
"预约 →","预约→"
"越南采购商团由华越团队陪同——费用约 $580/4 天。","越南采购商团由华越团队陪同——费用约$580/4天。"
"报名 →","报名→"
"🧭 打开 Google 地图 →","🧭 打开Google地图→"
"🎬 360° 虚拟全景","🎬 360°虚拟全景"
"无需飞往中国即可身临其境参观工厂。拖动鼠标 360° 旋转，点击热点查看生产线、成品仓、QC 室、客户洽谈室。","无需飞往中国即可身临其境参观工厂。拖动鼠标360°旋转，点击热点查看生产线、成品仓、QC室、客户洽谈室。"
"的专属 360° 全景正由华越拍摄中。请联系客户经理，准备就绪后将通知您。当前您查看的是示例全景。","的专属360°全景正由华越拍摄中。请联系客户经理，准备就绪后将通知您。当前您查看的是示例全景。"
"即可 360° 旋转视角","即可360°旋转视角"
"或 +/− 按钮放大/缩小","或+/-按钮放大/缩小"
"有 VR 眼镜？","有VR眼镜？"
"点击底栏的眼镜图标进入 VR 模式","点击底栏的眼镜图标进入VR模式"
"想实地看工厂，而不是 VR？","想实地看工厂，而不是VR？"
"华越在广州 / 深圳 / 佛山组织 4 天 3 夜的实地验厂行程。费用约 $580/人，由华越团队 + 翻译陪同。","华越在广州/深圳/佛山组织4天3夜的实地验厂行程。费用约$580/人，由华越团队+翻译陪同。"
"7×24 小时即时","7×24小时即时"
"用中文回答产品、起订量、交期、打样、认证、付款及 OEM/ODM 问题。所有回答均源自工厂的目录 + 官方资料。","用中文回答产品、起订量、交期、打样、认证、付款及OEM/ODM问题。所有回答均源自工厂的目录+官方资料。"
"📚 AI 训练所用数据：","📚 AI训练所用数据："
"💡 点击话题查看 AI 示例回答：","💡 点击话题查看AI示例回答："
"平均响应 1.2s · 中文 + English","平均响应1.2s · 中文+English"
"CSR AI 正在输入……","CSR AI正在输入……"
"与 AI 实时聊天功能将于","与AI实时聊天功能将于"
"✅ AI 可以回答：","✅ AI可以回答："
"• 打样 + 定制下单流程","• 打样+定制下单流程"
"• 付款方式 + 保险","• 付款方式+保险"
"• 物流：FOB 港口、海运时间、DDP 河内","• 物流：FOB港口、海运时间、DDP河内"
"❌ AI 无法替代：","❌ AI无法替代："
"• 签署长期 OEM 合同","• 签署长期OEM合同"
"• 法律 / 争议决策","• 法律/争议决策"
"• ≥ $50K 复杂项目的报价","• ≥ $50K复杂项目的报价"
"• 需专属客户经理的 VIP 客户","• 需专属客户经理的VIP客户"
"：拖动鼠标 360° 旋转，滚动缩放，点击光点前往其他区域。点击","：拖动鼠标360°旋转，滚动缩放，点击光点前往其他区域。点击"
"查看更宽视野（每次点击会重新加载 360°），或","查看更宽视野（每次点击会重新加载360°），或"
"华越已审核的中越工厂与品牌名录：工厂位置、成立年份、规模、SKU 数量，以及上市公司的股票代码。","华越已审核的中越工厂与品牌名录：工厂位置、成立年份、规模、SKU数量，以及上市公司的股票代码。"
"10 – 30 年","10–30年"
"30 – 60 年","30–60年"
"60+ 年","60+年"
"X 年","X年"
"华越上的所有工厂均由广州团队每年实地验厂 2 次。","华越上的所有工厂均由广州团队每年实地验厂2次。"
"个 SKU","个SKU"
"2 家合作伙伴的工厂数据待补充","2家合作伙伴的工厂数据待补充"
"下方 2 家供应商的网站屏蔽了来自中国大陆以外网络的访问——华越正在等待官方 PDF 资料，或通过中国代理补充工厂数据。","下方2家供应商的网站屏蔽了来自中国大陆以外网络的访问——华越正在等待官方PDF资料，或通过中国代理补充工厂数据。"
"Mijic (米吉克)","Mijic（米吉克）"
"广钢 (Gise-Gnm)","广钢（Gise-Gnm）"
"11 月 porcelain 瓷砖价格下降 8%","11 月瓷砖价格下降 8%"
"适用于 Calacatta porcelain 系列。2026 年 11 月 30 日截止。","适用于 Calacatta 瓷砖系列。2026 年 11 月 30 日截止。"
"热销产品：","热销产品"
"YKK 拉链 · 杭州拉链","YKK 拉链·杭州拉链"
"东鹏陶瓷 · $8.50/㎡","东鹏陶瓷·$8.50/㎡"
"L 型转角沙发 6 座绒布","L型转角沙发 6座绒布"
"顾家家居 · $420/套","顾家家居·$420/套"
"欧派家居 · $210/米","欧派家居·$210/米"
"下载华越 APP","下载华越APP"
"综合 · 25K+ 供应商","综合·25K+ 供应商"
"华越将携 Made-in-China 合作伙伴共同参展的展会清单。","华越将携Made-in-China合作伙伴共同参展的展会清单。"
"华越带队 · 提供签证协助与 B2B 日程对接","华越带队·提供签证协助与B2B日程对接"
"每月通过邮件获取展会日程与 B2B 配对安排。","每月通过邮件获取展会日程与B2B配对安排。"
"三棵树鲜呼吸美缝剂（XHX-MFJ）达健康+、法国 A+、中国环境标志认证（十环），防霉抗菌、360° 抗弯断。适用于室内墙砖、地砖填缝","三棵树鲜呼吸美缝剂（XHX-MFJ）达健康+、法国 A+、中国环境标志认证（十环），防霉抗菌、360° 抗弯断。适用于室内墙砖、地砖填缝。"
"三棵树滚筒是专为三棵树产品系列开发的配套施工工具，与三棵树产品配合施工时兼容性更高，涂装效果好、施工性能卓越。产品","三棵树滚筒是专为三棵树产品系列开发的配套施工工具，与三棵树产品配合施工时兼容性更高，涂装效果好、施工性能卓越。"
"表面平滑，防污，擦拭迅速。","表面平滑，防污，易清洁。"
"Bravat D452BTC 按压式台盆落水，适用于带溢水孔的洗手盆，为浴室空间带来便利与美观。产品采用高端黄铜（brass）制造，防腐蚀、超耐用；按钮按压式机构简单，可快速高效地排水。","Bravat D452BTC 按压式台盆落水，适用于带溢水孔的洗手盆，为浴室空间带来便利与美观。产品采用高端黄铜制造，防腐蚀、超耐用；按钮按压式机构简单，可快速高效地排水。"
"按压式台盆落水（pop-up），适用带溢水孔的台盆","按压式台盆落水，适用带溢水孔的台盆"
"高端黄铜（brass），防腐蚀","高端黄铜，防腐蚀"
"按钮按压式（push-button），排水快速高效","按钮按压式，排水快速高效"
"Bravat D452BW 台盆落水（排水件），按压弹起式 pop-up，专为带溢水孔的洗手盆设计，可快速排放污水并防止水回流、渗漏或异味。存水弯主体采用黄铜（brass）制造，防锈、防腐蚀性能优异，即使在浴室等潮湿环境也耐用。","Bravat D452BW 台盆落水（排水件），按压弹起式，专为带溢水孔的洗手盆设计，可快速排放污水并防止水回流、渗漏或异味。存水弯主体采用黄铜制造，防锈、防腐蚀性能优异，即使在浴室等潮湿环境也耐用。"
"按压弹起式台盆落水（push up pop-up），带溢水孔（overflow hole）","按压弹起式台盆落水，带溢水孔"
"黄铜（brass）防锈、防腐蚀","黄铜防锈、防腐蚀"
"Bravat 按压式（push-up pop-up）无溢水孔台盆落水，采用高端黄铜制造，表面亮铬电镀，防腐蚀、经久耐用。按钮按压式机构简单，排水快速高效，适配多种台盆。","Bravat 按压式无溢水孔台盆落水，采用高端黄铜制造，表面亮铬电镀，防腐蚀、经久耐用。按钮按压式机构简单，排水快速高效，适配多种台盆。"
"按压式台盆落水（push-up pop-up），无溢水孔","按压式台盆落水，无溢水孔"
"Bravat D452RBG 按压式落水是台盆安装系统中的重要部件，可排放污水与杂物，并防止水回流、渗漏和异味。存水弯主体采用黄铜（brass）镀铬，在浴室等潮湿环境防锈、防腐蚀性能优异，兼具持久耐用与现代奢华的外观。","Bravat D452RBG 按压式落水是台盆安装系统中的重要部件，可排放污水与杂物，并防止水回流、渗漏和异味。存水弯主体采用黄铜镀铬，在浴室等潮湿环境防锈、防腐蚀性能优异，兼具持久耐用与现代奢华的外观。"
"按压弹起式落水（push-up pop-up），带溢水孔","按压弹起式落水，带溢水孔"
"Bravat C01011W 落地式马桶，采用冲落式（wash down）冲水与双档节水冲水机构 3.5/5L。产品配 UF 材质坐盖，具缓降（soft-close）功能，采用横排 P-trap 排污设计（可通过配件 P60391N 改为 S-trap）。","Bravat C01011W 落地式马桶，采用冲落式冲水与双档节水冲水机构 3.5/5L。产品配 UF 材质坐盖，具缓降功能，采用横排 P-trap 排污设计（可通过配件 P60391N 改为 S-trap）。"
"双档冲水 3.5 / 5L，冲落式（wash down）技术","双档冲水 3.5 / 5L，冲落式技术"
"UF 材质，缓降（soft-close）","UF 材质，缓降"
"Bravat C21185W-3CM-VP 无水箱智能马桶，采用强劲的喷射虹吸（Jet Siphonic）冲水技术，冲水量仅 5.0L 节水。产品集成电子功能，防水等级 IPX4，功率 650W，在 0.15-0.75MPa 水压范围内稳定运行。","Bravat C21185W-3CM-VP 无水箱智能马桶，采用强劲的喷射虹吸冲水技术，冲水量仅 5.0L 节水。产品集成电子功能，防水等级 IPX4，功率 650W，在 0.15-0.75MPa 水压范围内稳定运行。"
"智能马桶，无水箱（喷射虹吸 Jet Siphonic 冲水）","智能马桶，无水箱（喷射虹吸冲水）"
"排距（rough-in）","排距"
"Bravat C21250UW 落地式马桶，尺寸小巧 555x350x440mm，采用冲落式（wash down）冲水及双档节水冲水机构 3/4.5L。产品配 UF 材质坐盖，具缓降功能，采用横排式（P-trap）安装，排污中心距 180mm。","Bravat C21250UW 落地式马桶，尺寸小巧 555x350x440mm，采用冲落式冲水及双档节水冲水机构 3/4.5L。产品配 UF 材质坐盖，具缓降功能，采用横排式（P-trap）安装，排污中心距 180mm。"
"双档冲水 3 / 4.5L，冲落式（Wash Down）","双档冲水 3 / 4.5L，冲落式"
"不锈钢（stainless steel）","不锈钢"
"Bravat D71039BTC 壁挂衣钩，适用于现代浴室空间，采用坚固锌合金制造，防腐蚀能力强。表面采用枪黑色（Gun-black）电镀奢华处理，表面抗污、易于擦拭，在使用过程中保持原有美观。","Bravat D71039BTC 壁挂衣钩，适用于现代浴室空间，采用坚固锌合金制造，防腐蚀能力强。表面采用枪黑色电镀奢华处理，表面抗污、易于擦拭，在使用过程中保持原有美观。"
"锌合金（zinc alloy），防腐蚀，耐用性高","锌合金，防腐蚀，耐用性高"
"枪黑色（Gun-black）电镀","枪黑色电镀"
"Bravat D71039BW 衣钩属高端系列，设计极简、棱角线条利落，用于整齐悬挂浴巾、浴袍或个人物品。表面采用哑光黑（matte black）奢华处理，抗指纹与灰尘，易于擦拭。","Bravat D71039BW 衣钩属高端系列，设计极简、棱角线条利落，用于整齐悬挂浴巾、浴袍或个人物品。表面采用哑光黑奢华处理，抗指纹与灰尘，易于擦拭。"
"哑光黑（matte black），抗指纹与灰尘","哑光黑，抗指纹与灰尘"
"Bravat D71044BTC 衣钩（robe hook）是高端浴室配件，设计精致，表面镀枪黑色（gun black）现代处理，营造出色亮点且经久耐用。产品采用锌合金提升坚固性与防腐蚀能力，并结合不锈钢防锈，在潮湿环境保持耐用。","Bravat D71044BTC 衣钩是高端浴室配件，设计精致，表面镀枪黑色现代处理，营造出色亮点且经久耐用。产品采用锌合金提升坚固性与防腐蚀能力，并结合不锈钢防锈，在潮湿环境保持耐用。"
"镀枪黑色（gun black），防腐蚀、防锈","镀枪黑色，防腐蚀、防锈"
"衣钩（robe hook）","衣钩"
"Bravat D71046BTC 毛巾衣钩，设计精致现代，适合奢华生活空间。采用高耐用锌合金制造，防腐蚀性能好，表面采用枪黑色（gun-black）奢华处理，抗刮擦且易于清洁。","Bravat D71046BTC 毛巾衣钩，设计精致现代，适合奢华生活空间。采用高耐用锌合金制造，防腐蚀性能好，表面采用枪黑色奢华处理，抗刮擦且易于清洁。"
"锌合金（zinc alloy），耐用性高，防腐蚀","锌合金，耐用性高，防腐蚀"
"枪黑色（gun-black），抗刮擦，易于清洁","枪黑色，抗刮擦，易于清洁"
"CareLighting（开尔照明）隶属于浙江旭光电子科技有限公司（Zhejiang Xuguang Electronic Technology Co., Ltd.）——一家集 LED 灯具及家用电器研发、生产、销售与服务于一体的高新技术企业。公司于 2016 年挂牌新三板（代码 839762）；旗下「Kaier Lighting」是中国知名 LED 灯具品牌，产品覆盖流通/综合照明、家居、商业、集成设备及电器五大领域。","CareLighting（开尔照明）隶属于浙江旭光电子科技股份有限公司——一家集 LED 灯具及家用电器研发、生产、销售与服务于一体的高新技术企业。公司于 2016 年挂牌新三板（代码 839762）；旗下「Kaier Lighting」是中国知名 LED 灯具品牌，产品覆盖流通/综合照明、家居、商业、集成设备及电器五大领域。"
"CareLighting 开尔照明 (Kaier / Zhejiang Xuguang)","CareLighting 开尔照明 (Kaier / 浙江旭光)"
"LED 射灯（spotlight）","LED 射灯"
"开尔照明 GX53 灯头嵌入式 LED 射灯（spotlight），暖白光，照明品质高效优良。适合安装于客厅及家居生活空间。","开尔照明 GX53 灯头嵌入式 LED 射灯，暖白光，照明品质高效优良。适合安装于客厅及家居生活空间。"
"嵌入式 LED 射灯（spotlight）","嵌入式 LED 射灯"
"暖白光（warm white）","暖白光"
"开尔照明现代设计 GX53 灯头 LED 灯泡，用作办公室与客厅的射灯（spotlight）。造型简洁，适合装入采用 GX53 标准的嵌入式吊顶灯或柜灯。","开尔照明现代设计 GX53 灯头 LED 灯泡，用作办公室与客厅的射灯。造型简洁，适合装入采用 GX53 标准的嵌入式吊顶灯或柜灯。"
"室内嵌入式 / 点光源照明","室内嵌入式/点光源照明"
"橱柜 / 展示柜照明","橱柜/展示柜照明"
"开尔照明采用 GX53 灯头的 LED 灯，功率 5W，发出舒适的暖白光。属不可调光（非 dimmable）类型，适合用作橱柜、展示柜及薄型嵌入式吊顶灯的 GX53 替换光源。","开尔照明采用 GX53 灯头的 LED 灯，功率 5W，发出舒适的暖白光。属不可调光类型，适合用作橱柜、展示柜及薄型嵌入式吊顶灯的 GX53 替换光源。"
"开尔照明 GX53 灯头 LED 灯泡，功率 5W，灯体结合铝材与塑料，并配 PC（聚碳酸酯）扩散灯罩。支持调光（dimmable），适合安装于采用 GX53 灯头的嵌入式吊顶灯及射灯。","开尔照明 GX53 灯头 LED 灯泡，功率 5W，灯体结合铝材与塑料，并配 PC（聚碳酸酯）扩散灯罩。支持调光，适合安装于采用 GX53 灯头的嵌入式吊顶灯及射灯。"
